variable;path;category
$PAYLOADS;/usr/share/payloads;Generic
$AUTOWORDLISTS;$PAYLOADS/Auto_Wordlists;Generic
$FUZZDB;$PAYLOADS/FuzzDB;Generic
$PAYLOADSALLTHETHINGS;$PAYLOADS/PayloadsAllTheThings;Generic
$SECLISTS;$PAYLOADS/SecLists;Generic
$SECURITYWORDLIST;$PAYLOADS/Security-Wordlist;Generic
$MIMIKATZ;/usr/share/windows/mimikatz;Post Exploitation
$POWERSPLOIT;/usr/share/windows/powersploit;Post Exploitation
$DIRBIG;$SECLISTS/Discovery/Web-Content/directory-list-2.3-big.txt;Web Analysis
$DIRMEDIUM;$SECLISTS/Discovery/Web-Content/directory-list-2.3-medium.txt;Web Analysis
$DIRSMALL;$SECLISTS/Discovery/Web-Content/directory-list-2.3-small.txt;Web Analysis
$ROCKYOU;$SECLISTS/Passwords/Leaked-Databases/rockyou.txt;Password Cracking
$WEBAPI_COMMON;$SECLISTS/Discovery/Web-Content/api/api-endpoints.txt;Web Analysis
$WEBAPI_MAZEN;$SECLISTS/Discovery/Web-Content/common-api-endpoints-mazen160.txt;Web Analysis
$WEBCOMMON;$SECLISTS/Discovery/Web-Content/common.txt;Web Analysis
$WEBPARAM;$SECLISTS/Discovery/Web-Content/burp-parameter-names.txt;Web Analysis
